establish,"vi. 植物定植
vt. 建立；创办；安置"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumer,n. 消费者；用户，顾客
consumption,n. 消费；消耗；肺痨
ambiguous,adj. 模糊不清的；引起歧义的
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
cultivate,vt. 培养；陶冶；耕作
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
reschedule,vt. 重新排定日程；重订时间表；重新计划
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
spouse,"n. 配偶
vt. 和…结婚"
scrutiny,n. 详细审查；监视；细看；选票复查
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
presence,n. 存在；出席；参加；风度；仪态
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exaggeration,n. 夸张；夸大之词；夸张的手法
reliant,adj. 依赖的；可靠的；信赖的
reliance,n. 信赖；信心；受信赖的人或物
exert,vt. 运用，发挥；施以影响
abolish,vt. 废除，废止；取消，革除
retain,vt. 保持；雇；记住
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
notably,adv. 显著地；尤其
sb. note that,
regulatory,adj. 管理的；控制的；调整的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
workforce,n. 劳动力；工人总数，职工总数
simplify,vt. 简化；使单纯；使简易
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
dedicate,vt. 致力；献身；题献
intense,adj. 强烈的；紧张的；非常的；热情的
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
existence,n. 存在，实在；生存，生活；存在物，实在物
existential,adj. 存在主义的；有关存在的；存在判断的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implementation,n.  实现；履行；安装启用
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independently,adv. 独立地；自立地
independence,n. 独立性，自立性；自主
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
narrowly,adv. 仔细地；勉强地；狭窄地；严密地
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alliance,n. 联盟，联合；联姻
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obsession,n. 痴迷；困扰； 强迫观念
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
inferiority,n. 自卑；下属；次等；下部
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
transaction,n. 交易；事务；办理；会报，学报
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
expressive,adj. 表现的；有表现力的；表达…的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
acknowledge,vt. 承认；答谢；报偿；告知已收到
consideration,n. 考虑；原因；关心；报酬
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
obstacle,n. 障碍，干扰；妨害物
exception,n. 例外；异议
exceptional,"n. 超常的学生
adj. 异常的，例外的"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withdrawal,n. 撤退，收回；提款；取消；退股
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
maintain,vt. 维持；继续；维修；主张；供养
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
seldom,adv. 很少，不常
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
commonly,adv. 一般地；通常地；普通地
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employer,n. 雇主，老板
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
unemployment,n. 失业；失业率；失业人数
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
failure,n. 失败；故障；失败者；破产
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
similar,"n. 类似物
adj. 相似的"
similarly,adv. 同样地；类似于
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
literate,"adj. 受过教育的；精通文学的
n. 学者"
literary,adj. 文学的；书面的；精通文学的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
adequate,adj. 充足的；适当的；胜任的
inadequate,adj. 不充分的，不适当的
crucial,adj. 重要的；决定性的；定局的；决断的
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
suspension,n. 悬浮；暂停；停职
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
neutrality,n. 中立；中性；中立立场
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commitment,n. 承诺，保证；委托；承担义务；献身
masterpiece,n. 杰作；绝无仅有的人
preference,n. 偏爱，倾向；优先权
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
massive,adj. 大量的；巨大的，厚重的；魁伟的
comply,vi. 遵守；顺从，遵从；答应
compliance,n. 顺从，服从；承诺
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entitlement,n. 权利；津贴
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
require,vt. 需要；要求；命令
requirement,n. 要求；必要条件；必需品
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alarming,"adj. 令人担忧的；使人惊恐的
v. 使惊恐（alarm的ing形式）"
alarmist,"n. 杞人忧天者；大惊小怪者
adj. 危言耸听的；忧虑的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
distract,vt. 转移；分心
distraction,n. 注意力分散；消遣；心烦意乱
thrive,vi. 繁荣，兴旺；茁壮成长
fund,"n. 基金；资金；存款
vt. 投资；资助"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
fulfillment,n. 履行；实行
